label,uri,types,vocabulary,domain,range,superproperty
heeft kwaliteitslabel,https://data.vlaanderen.be/ns/logies#heeftKwaliteitsLabel,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/logies,https://data.vlaanderen.be/ns/logies#Logies,https://data.vlaanderen.be/ns/logies#Kwaliteitslabel,
heeft lid,https://www.iflastandards.info/fr/frbr/frbroo#R10,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft lidmaatschap,http://www.w3.org/ns/org#hasMembership,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft media,https://data.vlaanderen.be/ns/logies#heeftMedia,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/logies,http://www.w3.org/1999/02/22-rdf-syntax-ns#Resource,https://data.vlaanderen.be/ns/logies#MediaObject,
heeft member,http://xmlns.com/foaf/0.1/member,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft mobiliteitsmaatregel,https://data.vlaanderen.be/ns/mobiliteit#Artikel.heeftMobiliteitsmaatregel,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,http://data.vlaanderen.be/ns/besluit#Artikel,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitsmaatregel,
heeft modaliteit,https://data.vlaanderen.be/ns/slimmeraadpleegomgeving#heeftModaliteit,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/slimmeraadpleegomgeving,http://ontology.tno.nl/normengineering/flint#Duty,http://data.europa.eu/m8g/Requirement,
heeft modaliteit,https://data.vlaanderen.be/ns/slimmeraadpleegomgeving#heeftModaliteit,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/slimmeraadpleegomgeving,http://www.cidoc-crm.org/cidoc-crm/E30_Right,http://data.europa.eu/m8g/Requirement,
heeft nationaliteit,https://data.vlaanderen.be/ns/persoon#heeftNationaliteit,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/persoon,http://www.w3.org/ns/person#Person,https://data.vlaanderen.be/ns/persoon#Nationaliteit,
heeft notitie,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft notulen,https://data.vlaanderen.be/ns/besluitvorming#heeftNotulen,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/besluitvorming,http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit,https://data.vlaanderen.be/ns/dossier#Stuk,
heeft notulen,http://data.vlaanderen.be/ns/besluit#heeftNotulen,http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/besluit,http://data.vlaanderen.be/ns/besluit#Zitting,http://xmlns.com/foaf/0.1/Document,
heeft officiële beoordeling,http://schema.org/starRating,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
heeft onderbord,https://data.vlaanderen.be/ns/mobiliteit#heeftOnderbord,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Verkeersteken,https://data.vlaanderen.be/ns/mobiliteit#Verkeersbord-Verkeersteken,
