label,uri,types,vocabulary,domain,range,superproperty
Activiteit,http://www.cidoc-crm.org/cidoc-crm/E7_Activity,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Activiteit,http://www.w3.org/ns/prov#Activity,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Activiteit,https://data.vlaanderen.be/ns/omgevingsvergunning#Activiteit,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/omgevingsvergunning,,,
Activiteit,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol.activiteit,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/cultureel-erfgoed,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol,http://www.cidoc-crm.org/cidoc-crm/E7_Activity,
Activiteit,https://data.vlaanderen.be/ns/cultuurparticipatie#Deelname.activiteit,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/cultuurparticipatie,https://data.vlaanderen.be/ns/cultuurparticipatie#Deelname,http://www.cidoc-crm.org/cidoc-crm/E7_Activity,
Activiteit,https://data.vlaanderen.be/ns/cultuurparticipatie#Realisatie.activiteit,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/cultuurparticipatie,https://data.vlaanderen.be/ns/cultuurparticipatie#Realisatie,http://www.cidoc-crm.org/cidoc-crm/E7_Activity,
activiteit,http://www.w3.org/ns/prov#activity,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
activiteit,http://www.w3.org/ns/regorg#orgActivity,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
activiteit,http://fixme.com#activiteit,http://www.w3.org/2000/01/rdf-schema#Property,,,,
activiteit,https://data.vlaanderen.be/ns/cultuur-en-jeugd/infrastructuur#Gebruik.activiteit,http://www.w3.org/2000/01/rdf-schema#Property,,,,
activiteit,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen#Erkenning.activiteit,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen#Erkenning,http://www.w3.org/2004/02/skos/core#Concept,
activiteit,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen#Erkenningsaanvraag.activiteit,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen#Erkenningsaanvraag,http://www.w3.org/2004/02/skos/core#Concept,
